,path,label
0,Surprise/1bd930d6a1c717c11be33db74823f661cb53f86cbba1d3d1f336cdf9~12fffff.jpg,Surprise
1,Surprise/cropped_emotions.100096~12fffff.png,Surprise
2,Surprise/0df0e470e33093f5b72a8197fa209d684032cc17f68194e605a26897~12fffff.jpg,Surprise
3,Surprise/cropped_emotions.260779~12fffff.png,Surprise
4,Surprise/cropped_emotions.263616~12fffff.png,Surprise
5,Surprise/cropped_emotions.263141~12fffff.png,Surprise
6,Surprise/1c16775dfd679b09c10f4e94f1ea187a921f5e4126c8728af87387e9~12fffff.jpg,Surprise
7,Surprise/0a15c44d8be6cc71cd9d8ab595266e5147459f424e30d7fa1d1f777d~12fffff.jpg,Surprise
8,Surprise/cropped_emotions.100252~12fffff.png,Surprise
9,Surprise/cropped_emotions.263517~12fffff.png,Surprise
10,Surprise/cropped_emotions.265653~12fffff.png,Surprise
11,Surprise/cropped_emotions.414987~12fffff.png,Surprise
12,Surprise/cropped_emotions.267870~12fffff.png,Surprise
13,Surprise/cropped_emotions.265487~12fffff.png,Surprise
14,Surprise/cropped_emotions.267672~12fffff.png,Surprise
15,Surprise/cropped_emotions.268248~12fffff.png,Surprise
16,Surprise/cropped_emotions.262379~12fffff.png,Surprise
17,Surprise/cropped_emotions.260287~12fffff.png,Surprise
18,Surprise/cropped_emotions.262781~12fffff.png,Surprise
19,Surprise/cropped_emotions.261806~12fffff.png,Surprise
20,Surprise/0dcc9de28d2c067ba2d4672072b148e03d03965bcc944bbe592f350b~12fffff.jpg,Surprise
21,Surprise/cropped_emotions.265858~12fffff.png,Surprise
22,Surprise/cropped_emotions.260151~12fffff.png,Surprise
23,Surprise/cropped_emotions.414959~12fffff.png,Surprise
24,Surprise/cropped_emotions.268538~12fffff.png,Surprise
25,Surprise/cropped_emotions.262774~12fffff.png,Surprise
26,Surprise/00f955a606e601f12232275b9023161656ec362eb06a78e7a33e7e8a~12fffff.jpg,Surprise
27,Surprise/cropped_emotions.261813~12fffff.png,Surprise
28,Surprise/cropped_emotions.261455~12fffff.png,Surprise
29,Surprise/cropped_emotions.415010~12fffff.png,Surprise
30,Surprise/cropped_emotions.262920~12fffff.png,Surprise
31,Surprise/cropped_emotions.261216~12fffff.png,Surprise
32,Surprise/cropped_emotions.267645~12fffff.png,Surprise
33,Surprise/cropped_emotions.100016~12fffff.png,Surprise
34,Surprise/cropped_emotions.260165~12fffff.png,Surprise
35,Surprise/cropped_emotions.414934~12fffff.png,Surprise
36,Surprise/cropped_emotions.267798~12fffff.png,Surprise
37,Surprise/cropped_emotions.262793~12fffff.png,Surprise
38,Surprise/cropped_emotions.265042~12fffff.png,Surprise
39,Surprise/cropped_emotions.261042~12fffff.png,Surprise
40,Surprise/cropped_emotions.100227~12fffff.png,Surprise
41,Surprise/cropped_emotions.267390~12fffff.png,Surprise
42,Surprise/cropped_emotions.100091~12fffff.png,Surprise
43,Surprise/cropped_emotions.266668~12fffff.png,Surprise
44,Surprise/cropped_emotions.100133~12fffff.png,Surprise
45,Surprise/cropped_emotions.267217~12fffff.png,Surprise
46,Surprise/cropped_emotions.414890~12fffff.png,Surprise
47,Surprise/cropped_emotions.100011~12fffff.png,Surprise
48,Surprise/cropped_emotions.100076~12fffff.png,Surprise
49,Surprise/cropped_emotions.99987~12fffff.png,Surprise
50,Surprise/cropped_emotions.260556~12fffff.png,Surprise
51,Surprise/cropped_emotions.264999~12fffff.png,Surprise
52,Surprise/cropped_emotions.100241~12fffff.png,Surprise
53,Surprise/cropped_emotions.268377~12fffff.png,Surprise
54,Surprise/cropped_emotions.414837~12fffff.png,Surprise
55,Surprise/cropped_emotions.263173~12fffff.png,Surprise
56,Surprise/cropped_emotions.415002~12fffff.png,Surprise
57,Surprise/cropped_emotions.268544~12fffff.png,Surprise
58,Surprise/cropped_emotions.100213~12fffff.png,Surprise
